contract-number,award-date,expiry-date,gsin,gsin-description_en,supplier-legal-name,supplier-address-city,supplier-address-prov-state,supplier-address-postal-code,supplier-address-country,organization-employee-count_en,total-contract-value,end-user-entity_en,contracting-entity-office-name_en,contracting-address-city,contracting-address-prov-state,contracting-address-postal-code,contracting-address-country
01044-150366-001-XL,2020-01-30T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,OCLC Online Computer Library Center Inc,Brossard,Quebec,J4Z3V5,Canada,1000 to 1499 employees,168431,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-170553-001-PI,2019-04-12T00:00:00Z,2019-12-31T00:00:00Z,D317E,Information Products,ANNUAL REVIEWS,PALO ALTO,California,94303-0139,United States,5 to 9 employees,82955,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-180361-001-EE,2019-09-27T00:00:00Z,2020-03-07T00:00:00Z,N7030,ADP Software,D-MARK BIOSCIENCES INC,Toronto,Ontario,M1B5W9,Canada,1 to 4 employees,237752,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-180393-001-EEM,2019-09-26T00:00:00Z,2020-10-31T00:00:00Z,N7030,ADP Software,Compuphile Systems Inc.,Ottawa,Ontario,K1H7Z2,Canada,5 to 9 employees,297964,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-181068-001-PI,2019-11-14T00:00:00Z,2020-12-31T00:00:00Z,D317E,Information Products,Clarivate Analytics (UK) Limited,London,,SE18EZ,United Kingdom,2500 to 4999 employees,59999,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-190318-001-XL,2019-11-13T00:00:00Z,2019-12-10T00:00:00Z,N7030,ADP Software,KNOWLEDGE POWERED SOLUTIONS LTD,RUNCORN,,WA71WA,United Kingdom,10 to 19 employees,90600,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-190352-001-EE,2019-08-26T00:00:00Z,2021-01-01T00:00:00Z,N7030,ADP Software,Carahsoft Technology Corp.,Reston,Virginia,20190,United States,500 to 999 employees,446642,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-190659-001-PI,2019-10-10T00:00:00Z,2020-12-31T00:00:00Z,D317E,Information Products,MyJoVE Corporation,Cambridge,Massachusetts,02140,United States,100 to 199 employees,18740,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-190758-001-PI,2019-10-16T00:00:00Z,2020-01-22T00:00:00Z,D317E,Information Products,CAB International,Wallingford,,OX108DE,United Kingdom,200 to 499 employees,23741,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-190815-001-EE,2020-03-01T00:00:00Z,2021-05-31T00:00:00Z,N7030,ADP Software,STYLUSOFT INC,Toronto,Ontario,M3C3M8,Canada,1 to 4 employees,26894,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-190826-001-HN,2020-02-11T00:00:00Z,2024-03-31T00:00:00Z,N6625ZAS,"SCANNER, TEST",OCR CANADA LTD.,Markham,Ontario,L3R9X4,Canada,50 to 99 employees,8977,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-190837-001-PI,2019-10-11T00:00:00Z,2020-12-31T00:00:00Z,D317E,Information Products,American Society for Microbiology,"Washington, DC",District of Columbia,20036,United States,100 to 199 employees,79852,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-190842-001-PI,2019-11-05T00:00:00Z,2020-12-31T00:00:00Z,D317E,Information Products,ELSEVIER B.V.,Amsterdam,,1043NX,Netherlands,1500 to 2499 employees,370813,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-190932-001-PQ,2019-05-14T00:00:00Z,2019-08-02T00:00:00Z,N7110,Office Furniture,BRC Business Enterprises Ltd,Georgetown,Ontario,L7G4R9,Canada,20 to 49 employees,289845,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-190950-001-PI,2019-11-26T00:00:00Z,2020-12-31T00:00:00Z,D317E,Information Products,EBSCO Canada Ltd,Markham,Ontario,L6B0P9,Canada,20 to 49 employees,688961,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-190987-001-XL,2020-01-13T00:00:00Z,2020-02-29T00:00:00Z,N7030,ADP Software,Colin Rowe and Associates Ltd.,Vars,Ontario,K0A3H0,Canada,1 to 4 employees,33545,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
01044-191098-001-EEM,2019-04-24T00:00:00Z,2020-03-31T00:00:00Z,N7030,ADP Software,Sandhill Consultants Canada Ltd,oakville,Ontario,L6M3X5,Canada,5 to 9 employees,38463,Agriculture and Agri-Food Canada,CSB ASSET MGNT&CAPTL PLANNING,OTTAWA,Ontario,K1A0C5,Canada
